Product_name,Ratings,Reviews,stars,Current_Price,MRP,Processor,RAM,Storage,Image_URL
Avita PURA APU Dual Core A6 9220e,1714,244,3.7,₹26490,₹33490,AMD APU Dual Core A6 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/computer/g/z/g/na-thin-and-light-laptop-avita-original-imag6y5qsuewhwks.jpeg?q=70
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS,246,41,4.3,₹139990,₹187990,AMD Ryzen 9 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/l3vxbbk0/computer/n/6/s/-original-imagewgtyyfzbykg.jpeg?q=70
APPLE 2020 Macbook Pro M1,434,46,4.6,₹132990,₹142900,Apple M1 Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/e/6/n/apple-original-imafxfyq4agsgysn.jpeg?q=70
DELL Inspiron Ryzen 3 Dual Core 3250U,230,29,4.2,₹33990,₹47695,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l45xea80/computer/w/j/c/-original-imagf4htystubbsg.jpeg?q=70
Lenovo ThinkPad E15 Core i5 11th Gen,10,0,4.7,₹67990,₹76915,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kpu3frk0/computer/8/n/h/thinkpad-e15-thin-and-light-laptop-lenovo-original-imag3yszdekdzvy2.jpeg?q=70
ASUS ROG Strix G Core i7 9th Gen,1884,241,4.5,₹99990,₹120990,120 Hz Refresh Rate- It can display upto 120 frames per second.,Intel Core i7 Processor (9th Gen),64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/k6b2snk0/computer/p/e/d/asus-na-gaming-laptop-original-imafggytk5twybmv.jpeg?q=70
Lenovo Legion 5 Ryzen 7 Octa Core 5800H,0,0,0,₹137990,₹181890,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/kt39jm80/computer/f/0/s/na-gaming-laptop-lenovo-original-imag6ggmwjmgqhqn.jpeg?q=70
acer Aspire Vero(Green PC ) Core i5 11th Gen,1,1,5,₹60990,₹65000,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/c/3/k/-original-imagayazehw3hcgz.jpeg?q=70
Lenovo Core i5 11th Gen,24,2,4.5,₹77990,₹80366,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kpu3frk0/computer/8/n/h/thinkpad-e15-thin-and-light-laptop-lenovo-original-imag3yszdekdzvy2.jpeg?q=70
DELL Ryzen 7 Octa Core 5800H,4,1,4,₹114990,₹151940,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kzrbiq80/computer/c/g/h/g15-5515-gaming-laptop-dell-original-imagbpb4cxnzbnx3.jpeg?q=70
acer Predator Helios 300 Core i7 11th Gen,382,60,4.5,₹112990,₹140990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,1 TB HDD|512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ksgehzk0/computer/r/c/k/predator-helios-300-gaming-laptop-acer-original-imag6yjdmwdrksyn.jpeg?q=70
Lenovo ThinkBook 13s Core i5 11th Gen,7,0,3.6,₹58990,₹121608,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/ktop5e80/computer/x/k/g/thinkbook-13s-thin-and-light-laptop-lenovo-original-imag6zepnbxrwmaf.jpeg?q=70
DELL Inspiron Core i5 11th Gen,41,7,4.1,₹59890,₹72234,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kt8zb0w0/computer/n/m/v/inspiron-3511-thin-and-light-laptop-dell-original-imag6n5kbmfcgxk6.jpeg?q=70
ASUS Pentium Quad Core,4944,689,3.7,₹24990,₹32990,Intel Pentium Quad Core Processor,4 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/k9d3p8w0/computer/c/a/h/asus-na-laptop-original-imafr6cbfurgkspg.jpeg?q=70
DELL Inspiron Core i5 11th Gen,17,0,4.2,₹65990,₹82837,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70
